listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
23039500;33.02;40;1 + fél szoba;1;1;7. ker;Belső-Erzsébetváros;új építésű;3;7;van;házközponti egyedi méréssel;nincs megadva;47.4976;19.06473;nincs megadva;teremgarázs - megvehető;4.75;van;nincs megadva;nincs megadva;egy helyiségben;nem tetőtéri
22848017;24.99;60;2 szoba;2;0;7. ker;Belső-Erzsébetváros;felújított;1;3;nincs;gáz (konvektor);udvari;47.495834;19.065235;délnyugat;kültéri - az árban;;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
22785500;115.9;69;2 + fél szoba;2;1;6. ker;Belső-Terézváros;új építésű;7;7;van;nincs megadva;kertre néző;47.500736;19.06069;nincs megadva;garázs - megvehető;24;van;3 m-nél alacsonyabb;duplakomfortos;külön helyiségben;nincs megadva
23043716;44.13;65;2 + fél szoba;2;1;6. ker;Külső-Terézváros;új építésű;7;9;van;házközponti egyedi méréssel;nincs megadva;47.5099;19.06571;nincs megadva;teremgarázs - megvehető;6.32;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nincs megadva
23040520;54.55;80;2 + 2 fél szoba;2;2;6. ker;Külső-Terézváros;új építésű;3;9;van;házközponti egyedi méréssel;nincs megadva;47.5099;19.06571;nincs megadva;teremgarázs - megvehető;17.35;nincs megadva;nincs megadva;nincs megadva;külön és egyben is;nem tetőtéri
23040501;45.6;70;3 szoba;3;0;6. ker;Külső-Terézváros;új építésű;5;9;van;házközponti egyedi méréssel;nincs megadva;47.5099;19.06571;nincs megadva;teremgarázs - megvehető;5.77;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nem tetőtéri
23040453;43.57;72;2 + fél szoba;2;1;6. ker;Külső-Terézváros;új építésű;2;9;van;házközponti egyedi méréssel;nincs megadva;47.5099;19.06571;nincs megadva;teremgarázs - megvehető;2.59;nincs megadva;nincs megadva;nincs megadva;külön helyiségben;nem tetőtéri
23040387;31.02;40;1 szoba;1;0;6. ker;Külső-Terézváros;új építésű;5;9;van;házközponti egyedi méréssel;nincs megadva;47.5099;19.06571;nincs megadva;teremgarázs - megvehető;4.82;nincs megadva;nincs megadva;nincs megadva;egy helyiségben;nem tetőtéri
23039603;55.26;61;1 + 2 fél szoba;1;2;7. ker;Belső-Erzsébetváros;új építésű;5;7;van;házközponti egyedi méréssel;nincs megadva;47.4976;19.06473;nincs megadva;teremgarázs - megvehető;9.54;van;nincs megadva;nincs megadva;külön és egyben is;nem tetőtéri
22786656;54.71;55;2 + fél szoba;2;1;6. ker;Belső-Terézváros;új építésű;2;7;van;nincs megadva;utcai;47.500736;19.06069;nincs megadva;garázs - megvehető;3.75;van;3 m-nél alacsonyabb;összkomfortos;külön helyiségben;nincs megadva
22203465;51.85;49;3 szoba;3;0;6. ker;Belső-Terézváros;új építésű;2;7;van;egyéb;utcai;47.500736;19.06069;nincs megadva;garázs - megvehető;;van;3 m-nél alacsonyabb;duplakomfortos;külön és egyben is;nem tetőtéri
22203460;60.72;55;2 + fél szoba;2;1;6. ker;Belső-Terézváros;új építésű;2;7;van;egyéb;utcai;47.500736;19.06069;délkelet;garázs - megvehető;16;van;3 m vagy magasabb;nincs megadva;külön és egyben is;nem tetőtéri
23039432;23.23;29;1 szoba;1;0;7. ker;Belső-Erzsébetváros;új építésű;2;7;van;házközponti egyedi méréssel;nincs megadva;47.4976;19.06473;nincs megadva;teremgarázs - megvehető;;van;nincs megadva;nincs megadva;egy helyiségben;nem tetőtéri
23039678;25.22;25;1 szoba;1;0;7. ker;Belső-Erzsébetváros;új építésű;2;7;van;házközponti egyedi méréssel;utcai;47.4976;19.06473;nincs megadva;teremgarázs - megvehető;4.34;van;nincs megadva;nincs megadva;egy helyiségben;nem tetőtéri
23040424;34.42;49;2 szoba;2;0;6. ker;Külső-Terézváros;új építésű;4;9;van;házközponti egyedi méréssel;nincs megadva;47.5099;19.06571;nincs megadva;teremgarázs - megvehető;3.11;nincs megadva;nincs megadva;nincs megadva;egy helyiségben;nem tetőtéri
23039659;58.5;63;1 + 2 fél szoba;1;2;7. ker;Belső-Erzsébetváros;új építésű;5;7;van;házközponti egyedi méréssel;utcai;47.4976;19.06473;nincs megadva;teremgarázs - megvehető;19.28;van;nincs megadva;nincs megadva;külön és egyben is;nincs megadva
23017459;44.5;75;2 + fél szoba;2;1;7. ker;Belső-Erzsébetváros;közepes állapotú;1;4;van;cserépkályha;utcai;47.49624;19.065369;északnyugat;utcán. közterületen - ingyenes;;nincs;3 m-nél alacsonyabb;összkomfortos;egy helyiségben;nem tetőtéri
22667784;25.9;69;2 + fél szoba;2;1;7. ker;Középső-Erzsébetváros;felújítandó;2;3;nincs;gáz (konvektor);utcai;47.503326;19.072535;délnyugat;utcán. közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
23039639;38.62;49;2 szoba;2;0;7. ker;Belső-Erzsébetváros;új építésű;földszint;7;van;házközponti egyedi méréssel;nincs megadva;47.4976;19.06473;nincs megadva;teremgarázs - megvehető;14.29;van;nincs megadva;nincs megadva;egy helyiségben;nincs megadva
