listing;price; area; rooms; fullrooms; halfrooms; district; varos; condition; floor; storeys; lift; heating; view; lat; long; orient; parking; balcony; aircon; ceiling; utility; bathtoil; garcess
22892097;40;18;1 szoba;1;0;5. ker;Belváros;felújított;1;7;van;házközponti;nincs megadva;47.494915;19.058243;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;komfortos;külön és egyben is;nincs megadva
23031592;145;57;2 szoba;2;0;6. ker;Külső-Terézváros;új építésű;1;6;van;házközponti egyedi méréssel;kertre néző;47.50991;19.06716;északkelet;utcán, közterületen - fizetős;10;nincs megadva;3 m-nél alacsonyabb;összkomfortos;egy helyiségben;nem tetőtéri
22923844;250;82;2 szoba;2;0;5. ker;Belváros;felújított;6;6;van;házközponti;panorámás;47.48911;19.054;nincs megadva;nincs megadva;0;van;3 m-nél alacsonyabb;összkomfortos;külön helyiségben;nem tetőtéri
7058687;145;53;2 szoba;2;0;7. ker;Középső-Erzsébetváros;felújított;3;6;van;gáz (konvektor);utcai;47.50114;19.06843;nincs megadva;utcán, közterületen - ingyenes;;nincs megadva;nincs megadva;összkomfortos;nincs megadva;nem tetőtéri
20875574;124;50;1 szoba;1;0;6. ker;Belső-Terézváros;jó állapotú;2;4;van;gáz (cirko);utcai;47.50491;19.05513;nincs megadva;utcán, közterületen - ingyenes;2.5;van;nincs megadva;összkomfortos;külön helyiségben;nem tetőtéri
22958234;155;50;2 + fél szoba;2;1;6. ker;Külső-Terézváros – Diplomatanegyed;felújított;3;3;nincs;házközponti egyedi méréssel;kertre néző;47.51202;19.07562;délnyugat;utcán, közterületen - fizetős;;van;nincs megadva;összkomfortos;külön helyiségben;legfelső emelet, nem tetőtéri
22971493;150;62;2 szoba;2;0;7. ker;Középső-Erzsébetváros;új építésű;4;6;van;nincs megadva;kertre néző;47.50198;19.07244;nincs megadva;nincs megadva;0;van;3 m-nél alacsonyabb;összkomfortos;egy helyiségben;nincs megadva
23045557;95;30;1 szoba;1;0;6. ker;Külső-Terézváros;felújított;1;5;van;gáz (cirko);utcai;47.508667;19.060555;nincs megadva;nincs megadva;;van;nincs megadva;nincs megadva;nincs megadva;nincs megadva
23042432;190;65;2 szoba;2;0;6. ker;Belső-Terézváros;felújított;2;4;van;gáz (cirko);utcai;47.507706;19.056519;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nem tetőtéri
23059496;300;90;3 + fél szoba;3;1;6. ker;Külső-Terézváros;újszerű;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.50586;19.064709;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
23057717;185;51;1 + fél szoba;1;1;5. ker;Belváros;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.49539;19.05885;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
23051344;150;57;2 szoba;2;0;6. ker;Külső-Terézváros;jó állapotú;3;4;van;házközponti;udvari;47.5127;19.06856;nincs megadva;utcán, közterületen - fizetős;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nem tetőtéri
21368962;115;44;1 szoba;1;0;7. ker;Belső-Erzsébetváros;felújított;1;5;van;házközponti;utcai;47.495438;19.064161;dél;utcán, közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
23055098;175;58;1 + fél szoba;1;1;5. ker;Belváros;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.48919;19.05486;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
23052341;165;65;1 szoba;1;0;5. ker;Belváros;felújított;2;3;nincs;gáz (cirko);udvari;47.49129;19.0544;nincs megadva;nincs megadva;;nincs;3 m vagy magasabb;összkomfortos;egy helyiségben;nem tetőtéri
21605361;214;64;2 szoba;2;0;7. ker;Külső-Erzsébetváros;újszerű;6;6;van;házközponti egyedi méréssel;panorámás;47.504086;19.08557;északkelet;teremgarázs - az árban;60;van;3 m-nél alacsonyabb;luxus;külön helyiségben;penthouse
23058771;295;58;2 szoba;2;0;5. ker;Lipótváros;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva;47.50891;19.047785;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;nincs megadva;nincs megadva
23050079;150;48;1 + fél szoba;1;1;7. ker;Belső-Erzsébetváros;felújított;2;3;nincs;gáz (konvektor);udvari;47.50018;19.06718;északnyugat;nincs megadva;0;nincs megadva;3 m vagy magasabb;duplakomfortos;külön és egyben is;nem tetőtéri
23015617;110;56;1 + fél szoba;1;1;7. ker;Külső-Erzsébetváros – Ligetváros;jó állapotú;3;4;van;gáz (konvektor);nincs megadva;47.50732;19.08028;délnyugat;utcán, közterületen - fizetős;;nincs;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
23056826;280;54;1 + fél szoba;1;1;5. ker;Lipótváros;újszerű;2;4;van;házközponti;utcai;47.50484;19.04727;nincs megadva;utcán, közterületen - fizetős;;van;3 m vagy magasabb;összkomfortos;külön helyiségben;nem tetőtéri
23049915;120;42;1 + fél szoba;1;1;7. ker;Belső-Erzsébetváros;újszerű;2;5;van;gáz (héra);udvari;47.49821;19.06669;nincs megadva;nincs megadva;;nincs megadva;nincs megadva;nincs megadva;egy helyiségben;nincs megadva
23018317;245;65;2 + fél szoba;2;1;5. ker;Lipótváros;jó állapotú;4;4;nincs megadva;házközponti;nincs megadva;47.503445;19.045448;dél;nincs megadva;;nincs megadva;3 m vagy magasabb;komfortos;külön helyiségben;nincs megadva
